,CASH,CASH_yield
1981-08-05,1.193963613757878,0.0004241095764996254
1981-08-06,1.194403751658041,0.0004205479556567049
1981-08-07,1.194456316713578,0.0004208219084021163
1981-08-10,1.1971734321170149,0.0012690410614013671
1981-08-11,1.199727752860823,0.00041698630868572075
1981-08-12,1.1978129668064792,0.0004068493255197186
1981-08-13,1.1975293931144013,0.0004186301296704436
1981-08-14,1.1975841880816795,0.00042246575551490266
1981-08-17,1.1977579365652484,0.001273972602739726
1981-08-18,1.1983789273719125,0.0004312328704415935
1981-08-19,1.1991663083637465,0.00043068493882270705
1981-08-20,1.199952628471913,0.00042931507058339573
1981-08-21,1.2016851376776392,0.00042794520234408446
1981-08-24,1.200681182465181,0.0012657533933038581
1981-08-25,1.201585500073959,0.0004342465857936911
1981-08-26,1.201820029755358,0.0004323287598074299
1981-08-27,1.2029474964011677,0.0004336986280467412
1981-08-28,1.2053579631242368,0.00043068493882270705
1981-08-31,1.2060788489863579,0.0012641095984471985
1981-09-01,1.2061934705234991,0.00042520549199352524
1981-09-02,1.2063105432973389,0.00042712329185172303
1981-09-03,1.2069893155381564,0.0004290410917099208
1981-09-04,1.2078915035515445,0.0004282191812175594
1981-09-08,1.2094205979107024,0.0017052055254374464
1981-09-09,1.2115611033215423,0.0004287671128364459
1981-09-10,1.2140365163012583,0.0004208219084021163
1981-09-11,1.2173021615008899,0.00041123288298306403
1981-09-14,1.2191322301905418,0.0011934246951586579
1981-09-15,1.2205184514600742,0.00039589040573329145
1981-09-16,1.2207048873650608,0.000391506848269946
1981-09-17,1.2212916986843885,0.00039287671650925726
1981-09-18,1.221650191566309,0.0003923287587623073
1981-09-21,1.2234690530861732,0.0011786301495277716
1981-09-22,1.2227427708808285,0.0003909589166510595
1981-09-23,1.2248194916615125,0.0003967123162256528
1981-09-24,1.2252321033803668,0.0003890410906647983
1981-09-25,1.2251878272560006,0.0003893150695382732
1981-09-28,1.2276376179005875,0.0011753424814302626
1981-09-29,1.2278765072186812,0.0003868493119331255
1981-09-30,1.2273149741794096,0.0003879452012989619
1981-10-01,1.2264748670802392,0.00039287671650925726
1981-10-02,1.226500621933523,0.0003991780738308005
1981-10-05,1.2301323905071513,0.0012041095576874195
1981-10-06,1.232734430557869,0.0003909589166510595
1981-10-07,1.2334853436651236,0.0003808219073569938
1981-10-08,1.2348124356749015,0.00037945206524574594
1981-10-09,1.2374107934624623,0.000375342460527812
1981-10-13,1.238205998495214,0.0014608219094472388
1981-10-14,1.2401668950207176,0.0003698630136986302
1981-10-15,1.2399124527085632,0.00036273971975666204
1981-10-16,1.239430377179989,0.00036602738785417114
1981-10-19,1.24078727617168,0.0011112329143367402
1981-10-20,1.2415888409098554,0.00037041097144558006
1981-10-21,1.2430294794613577,0.0003687671243327937
1981-10-22,1.243300455379875,0.00036410958799597336
1981-10-23,1.2442137985256119,0.0003649314984883348
1981-10-26,1.2450806995097479,0.001088219159269986
1981-10-27,1.245294821873507,0.0003649314984883348
1981-10-28,1.2465614589156118,0.00036602738785417114
1981-10-29,1.2480593507347573,0.00036219178813777557
1981-10-30,1.2501996145763525,0.0003572602729274802
1981-11-02,1.2518418613737572,0.001047945205479452
1981-11-04,1.254998225387152,0.0006953424427607288
1981-11-05,1.2561240327328007,0.00033698630659547573
1981-11-06,1.2595033334067953,0.00033369863849796663
1981-11-09,1.2636139704048768,0.0009600000250829407
1981-11-10,1.2642338132002298,0.0003065753309694055
1981-11-12,1.2682939594863818,0.0006109588832071383
1981-11-13,1.2675722580093798,0.000290410969355335
1981-11-16,1.2695771899826485,0.0008860273753127006
1981-11-17,1.2699399739905468,0.0002912328798476964
1981-11-18,1.2736882237941722,0.0002912328798476964
1981-11-19,1.2737295557074433,0.0002758904025979238
1981-11-20,1.2741363521233195,0.0002772602708372351
1981-11-23,1.2728739691370516,0.0008309588758912804
1981-11-24,1.275170849075998,0.0002873972540032374
1981-11-25,1.2759440113796467,0.00027863013907654643
1981-11-27,1.2762111954607376,0.0005534246784366973
1981-11-30,1.2760436914082602,0.0008358904172296392
1981-12-01,1.2756717679326657,0.0002841095859057283
1981-12-02,1.2752440271914551,0.0002873972540032374
1981-12-03,1.2762138334194413,0.00029095890097422146
1981-12-04,1.2801004422225875,0.00028821919062366224
1981-12-07,1.279420216230048,0.0008169862668808191
1981-12-08,1.2795280452421218,0.0002800000073158578
1981-12-09,1.2791508687141384,0.0002810958966816941
1981-12-10,1.2776861756622737,0.00028438356477920325
1981-12-11,1.277204557746369,0.0002926027480870077
1981-12-14,1.277532303607055,0.0008893150434102097
1981-12-15,1.2782720246011483,0.00029999999477438733
1981-12-16,1.2787676386635227,0.00029835617378966446
1981-12-17,1.2775062105956925,0.0002978082160427146
1981-12-18,1.2795248355275566,0.00030520548885815764
1981-12-21,1.2792528803807064,0.0008934246481281437
1981-12-22,1.2800592396898354,0.0003041095994923213
1981-12-23,1.2786823977746733,0.00030219177350606003
1981-12-24,1.2804045361470116,0.00031013697794038956
1981-12-28,1.280903706538934,0.0012164383979692852
1981-12-29,1.2786904637537337,0.0003087671358291417
1981-12-30,1.2811502658523848,0.00032054793997986675
1981-12-31,1.2832414290776102,0.0003112328673062259
1982-01-04,1.282889626584549,0.0012142465669814854
1982-01-05,1.2812833463469708,0.0003120548039266508
1982-01-06,1.28217206066105,0.0003210958977268167
1982-01-07,1.2824527725076198,0.00031890411899514393
1982-01-08,1.2837042415802176,0.0003194520506140304
1982-01-11,1.2821734105445757,0.0009468493526929045
1982-01-12,1.282647357609159,0.00032794521279530986
1982-01-13,1.2819722963574782,0.0003276712339218349
1982-01-14,1.2828752801686172,0.0003326027491321303
1982-01-15,1.2823853352017867,0.00033041097040045753
1982-01-18,1.2834095161780827,0.001003561646970984
1982-01-19,1.2819614829850705,0.00033561643835616436
1982-01-20,1.2814313542677676,0.0003441096005374438
1982-01-21,1.2815697701937434,0.0003484931580007893
1982-01-22,1.2805070789136275,0.0003498630262401006
1982-01-25,1.2800555335393358,0.0010701370239257811
1982-01-26,1.2823183609420454,0.0003649314984883348
1982-01-27,1.2840944502346634,0.00035671234130859377
1982-01-28,1.2876832209354838,0.00035068493673246203
1982-01-29,1.2866552046453572,0.0003364383488485258
1982-02-01,1.2809733319477181,0.0010290411335148223
1982-02-02,1.2818661886498526,0.00037479452890892557
1982-02-03,1.2813777048037132,0.00037287670292266426
1982-02-04,1.282333811077144,0.00037726028651407324
1982-02-05,1.283167895314292,0.00037506848165433696
1982-02-08,1.2826052243411048,0.0011202739820088425
1982-02-09,1.2817712938996157,0.00038246575446978007
1982-02-10,1.2824417919756594,0.00038849315904591176
1982-02-11,1.2826924333811434,0.00038767122242548696
1982-02-16,1.2828789999681975,0.0019438355589566163
1982-02-17,1.2839822206022846,0.0003991780738308005
1982-02-18,1.2891106011738989,0.0003964383634802414
1982-02-19,1.2908554231647131,0.000375342460527812
1982-02-22,1.2979741354142773,0.0011087671044754655
1982-02-23,1.2996357883056993,0.00034383562166396886
1982-02-24,1.3022140201020707,0.00033835617483478705
1982-02-25,1.3012237697425946,0.00032876712328767124
1982-02-26,1.3003663648043613,0.0003350684806092145
1982-03-01,1.3027159448727859,0.0010224657189356137
1982-03-02,1.3025333198282705,0.0003361643961031143
1982-03-03,1.3035198449367025,0.0003389041064536735
1982-03-04,1.304565593377689,0.0003364383488485258
1982-03-05,1.3049322982308753,0.00033369863849796663
1982-03-08,1.306648881823192,0.0010019177737301342
1982-03-09,1.3055988907295386,0.00033205479138518034
1982-03-10,1.3057265200685686,0.00033863012758019855
1982-03-11,1.30475098821193,0.00033999999581950987
